Stationsnummer: 2068
Stationsname: Riazzino
DBLH-Nr: 00211
Gew�sser: Ticino
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-06-17
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gew�sser;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-16 00:00:00;;29.600;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-17 00:00:00;;23.200;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-18 00:00:00;;37.000;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-19 00:00:00;;40.900;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-20 00:00:00;;41.400;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-21 00:00:00;;39.600;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-22 00:00:00;;46.100;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-23 00:00:00;;29.000;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-24 00:00:00;;20.000;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-25 00:00:00;;36.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-26 00:00:00;;42.700;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-27 00:00:00;;43.100;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-28 00:00:00;;45.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-02-29 00:00:00;;44.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-01 00:00:00;;25.500;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-02 00:00:00;;20.400;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-03 00:00:00;;39.100;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-04 00:00:00;;46.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-05 00:00:00;;45.100;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-06 00:00:00;;44.200;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-07 00:00:00;;45.400;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-08 00:00:00;;26.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-09 00:00:00;;20.200;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-10 00:00:00;;35.200;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-11 00:00:00;;40.100;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-12 00:00:00;;43.400;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-13 00:00:00;;42.900;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-14 00:00:00;;47.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-15 00:00:00;;34.700;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-16 00:00:00;;25.100;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-17 00:00:00;;42.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-18 00:00:00;;47.600;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-19 00:00:00;;43.200;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-20 00:00:00;;44.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-21 00:00:00;;48.000;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-22 00:00:00;;30.900;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-23 00:00:00;;27.900;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-24 00:00:00;;40.700;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-25 00:00:00;;41.800;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-26 00:00:00;;47.400;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-27 00:00:00;;48.800;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-28 00:00:00;;47.100;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-29 00:00:00;;33.700;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-30 00:00:00;;27.700;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-03-31 00:00:00;;41.900;Freigegeben, validierte Daten
