Zeitstempel,Stationsname,Stationsnummer,Parameter,Zeitreihe,Parametereinheit,Gewässer,Zeitpunkt_des_Auftretens,Wert,Freigabestatus,Flow
1980-02-07 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.895020484924316,hinzugefügte Daten,8.475
1980-02-08 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.870349884033203,hinzugefügte Daten,7.368
1980-02-09 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.743370532989502,hinzugefügte Daten,6.6
1980-02-10 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.832869529724121,hinzugefügte Daten,6.723
1980-02-11 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.891839981079102,hinzugefügte Daten,7.423
1980-02-12 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.605085849761963,hinzugefügte Daten,6.715
1980-02-13 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.1812591552734375,hinzugefügte Daten,6.323
1980-02-14 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.541547775268555,hinzugefügte Daten,5.611
1980-02-15 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.527858734130859,hinzugefügte Daten,5.629
1980-02-16 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.706734657287598,hinzugefügte Daten,5.24
1980-02-17 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.732913494110107,hinzugefügte Daten,5.494
1980-02-18 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.478822708129883,hinzugefügte Daten,5.219
1980-02-19 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.037049770355225,hinzugefügte Daten,4.863
1980-02-20 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.694153308868408,hinzugefügte Daten,5.282
1980-02-21 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.651244640350342,hinzugefügte Daten,5.216
1980-02-22 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.961772918701172,hinzugefügte Daten,4.991
1980-02-23 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.581723690032959,hinzugefügte Daten,4.621
1980-02-24 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.597447872161865,hinzugefügte Daten,4.519
1980-02-25 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.416968822479248,hinzugefügte Daten,5.391
1980-02-26 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.953731060028076,hinzugefügte Daten,4.774
1980-02-27 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.555968284606934,hinzugefügte Daten,5.032
1980-02-28 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.345088005065918,hinzugefügte Daten,3.978
1980-02-29 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.330940246582031,hinzugefügte Daten,4.391
1980-03-01 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.576301097869873,hinzugefügte Daten,4.276
1980-03-02 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.896844387054443,hinzugefügte Daten,4.277
1980-03-03 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.993068218231201,hinzugefügte Daten,4.978
1980-03-04 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.810225963592529,hinzugefügte Daten,4.587
1980-03-05 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,4.713812351226807,hinzugefügte Daten,4.462
1980-03-06 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.496623516082764,hinzugefügte Daten,4.595
1980-03-07 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.488072395324707,hinzugefügte Daten,4.538
1980-03-08 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.214183807373047,hinzugefügte Daten,4.01
1980-03-09 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.266651153564453,hinzugefügte Daten,3.824
1980-03-10 00:00:00,"Buochs, Flugplatz",2481,Wassertemperatur,Tagesmittel,°C,Engelberger Aa,,5.538972854614258,hinzugefügte Daten,4.19
