Zeitstempel,Wert
,
2018-01-01,3.351149082183838
2018-01-02,3.0190162658691406
2018-01-03,3.6348299980163574
2018-01-04,7.000593662261963
2018-01-05,8.410895347595215
2018-01-06,5.27935266494751
2018-01-07,3.8176066875457764
2018-01-08,2.9997661113739014
2018-01-09,3.6105284690856934
2018-01-10,2.7956032752990723
2018-01-11,2.7589662075042725
2018-01-12,2.4960460662841797
2018-01-13,2.044705629348755
2018-01-14,1.7774642705917358
2018-01-15,2.1286935806274414
2018-01-16,2.7955336570739746
2018-01-17,3.0492849349975586
2018-01-18,2.622117280960083
2018-01-19,3.435678243637085
2018-01-20,2.5686395168304443
2018-01-21,4.191089153289795
2018-01-22,7.262199878692627
2018-01-23,6.117153644561768
2018-01-24,3.922168016433716
2018-01-25,4.020862102508545
2018-01-26,3.0202956199645996
2018-01-27,2.8729851245880127
2018-01-28,2.4961931705474854
2018-01-29,2.2176191806793213
2018-01-30,2.452535390853882
2018-01-31,2.638735771179199
2018-02-01,2.351426124572754
2018-02-02,1.9090124368667603
2018-02-03,1.7432756423950195
2018-02-04,1.5869568586349487
2018-02-05,1.7138506174087524
2018-02-06,1.6986057758331299
2018-02-07,1.5741679668426514
2018-02-08,1.7153215408325195
2018-02-09,1.7087148427963257
2018-02-10,1.6188831329345703
2018-02-11,1.6320650577545166
2018-02-12,1.5278956890106201
2018-02-13,1.1521083116531372
2018-02-14,1.4279696941375732
2018-02-15,1.881608486175537
2018-02-16,3.147260904312134
2018-02-17,3.6784746646881104
2018-02-18,3.132885217666626
2018-02-19,2.347256660461426
2018-02-20,2.192596912384033
2018-02-21,1.7267459630966187
2018-02-22,1.5256145000457764
2018-02-23,1.4290283918380737
2018-02-24,1.4514868259429932
2018-02-25,1.151801586151123
2018-02-26,0.8348780274391174
2018-02-27,0.7906478047370911
2018-02-28,0.8832011818885803
2018-03-01,1.1325637102127075
2018-03-02,1.2607126235961914
2018-03-03,1.404280185699463
2018-03-04,1.6008731126785278
2018-03-05,1.9177775382995605
2018-03-06,1.974836826324463
2018-03-07,2.3003320693969727
2018-03-08,2.427356481552124
2018-03-09,2.9854321479797363
2018-03-10,2.7726824283599854
2018-03-11,2.716600179672241
2018-03-12,3.0396969318389893
2018-03-13,3.2206997871398926
2018-03-14,2.6252601146698
2018-03-15,2.42742657661438
2018-03-16,2.9598493576049805
2018-03-17,2.5411794185638428
2018-03-18,2.4332327842712402
2018-03-19,2.2057838439941406
2018-03-20,1.8624902963638306
2018-03-21,1.7909597158432007
2018-03-22,1.8858619928359985
2018-03-23,2.193027973175049
2018-03-24,2.190608501434326
2018-03-25,2.571535587310791
2018-03-26,2.3630125522613525
2018-03-27,2.3233556747436523
2018-03-28,2.8779232501983643
2018-03-29,3.694265604019165
2018-03-30,2.7173800468444824
2018-03-31,3.0086722373962402
2018-04-01,2.821627378463745
2018-04-02,2.6951823234558105
2018-04-03,3.3373775482177734
2018-04-04,3.364885091781616
2018-04-05,4.525636672973633
2018-04-06,3.733710765838623
2018-04-07,4.052609920501709
2018-04-08,4.465601921081543
2018-04-09,4.529244422912598
2018-04-10,3.4311506748199463
2018-04-11,3.3419244289398193
2018-04-12,3.717869281768799
2018-04-13,3.7710916996002197
2018-04-14,3.91103196144104
2018-04-15,4.046995639801025
2018-04-16,4.345485687255859
2018-04-17,4.3697991371154785
2018-04-18,4.507784366607666
2018-04-19,4.6583356857299805
2018-04-20,4.735372543334961
2018-04-21,4.847012519836426
2018-04-22,4.8804779052734375
2018-04-23,4.94561767578125
2018-04-24,4.802032947540283
2018-04-25,4.755507946014404
2018-04-26,4.947040557861328
2018-04-27,4.767566204071045
2018-04-28,4.692996501922607
2018-04-29,4.7580647468566895
2018-04-30,4.820019245147705
2018-05-01,4.010342597961426
2018-05-02,3.861427068710327
2018-05-03,3.9058077335357666
2018-05-04,4.122365474700928
2018-05-05,4.500551700592041
2018-05-06,4.698746681213379
2018-05-07,4.869879722595215
2018-05-08,4.785795211791992
2018-05-09,4.68256950378418
2018-05-10,4.577795505523682
2018-05-11,4.387276649475098
2018-05-12,4.484090328216553
2018-05-13,4.557863235473633
2018-05-14,4.529630184173584
2018-05-15,4.447693824768066
2018-05-16,4.240860939025879
2018-05-17,4.2097625732421875
2018-05-18,4.195019721984863
2018-05-19,4.289156436920166
2018-05-20,4.264303684234619
2018-05-21,4.168609619140625
2018-05-22,4.225098609924316
2018-05-23,4.385838508605957
2018-05-24,4.2677178382873535
2018-05-25,4.364880084991455
2018-05-26,4.4575676918029785
2018-05-27,4.584192276000977
2018-05-28,4.819823265075684
2018-05-29,5.027937412261963
2018-05-30,5.008082389831543
2018-05-31,4.748106002807617
2018-06-01,4.578195571899414
2018-06-02,4.398441791534424
2018-06-03,4.422745704650879
2018-06-04,4.626201629638672
2018-06-05,4.608190536499023
2018-06-06,4.595819473266602
2018-06-07,4.6438164710998535
2018-06-08,4.590475082397461
2018-06-09,4.5141520500183105
2018-06-10,4.402406215667725
2018-06-11,4.54845666885376
2018-06-12,5.020617485046387
2018-06-13,5.7153191566467285
2018-06-14,4.92174768447876
2018-06-15,4.4460978507995605
2018-06-16,4.265425205230713
2018-06-17,4.178098678588867
2018-06-18,4.132981300354004
2018-06-19,4.137262344360352
2018-06-20,4.150209903717041
2018-06-21,4.17270565032959
2018-06-22,4.26573371887207
2018-06-23,4.156884670257568
2018-06-24,4.004237174987793
2018-06-25,3.8681845664978027
2018-06-26,3.82746958732605
2018-06-27,3.8492867946624756
2018-06-28,3.8924052715301514
2018-06-29,3.8438286781311035
